2016/01/26,11:57:58
舦靡腹,舦靡嘿,禦秖,禦基,芥基,芥秖,禦芥基畉,瞶禦芥基畉,Θユ基,害禴碩(%),Θユ秖,夹嘿,基ず,糹基,︽ㄏゑㄒ,逞緇ぱ计,Τ篵膘,BIV,SIV
="06879P",じ碔7J,100,0.69,1,15,49.254%,8.802%,0.69,32.69%,510,芖50,1.35% 基,56.24,1.0310,22,-33.13,17.97%,23.93%
="07183P",F6瓣,140,3.24,3.26,10,0.615%,1.311%,-,-,0,芖50,1.35% 基,56.24,1.0310,37,-7.83,49.24%,49.70%
="07264P",M5竤痲,499,1.10,1.11,499,0.909%,1.963%,1.09,9%,1216,芖50,1.35% 基,56.24,0.5160,43,-11.52,32.51%,32.86%
="07273P",ら脖58,499,1.06,1.07,499,0.943%,1.635%,1.07,8.08%,35,芖50,1.35% 基,56.24,0.4130,43,-9.48,38.12%,38.47%
="07276P",9B碔ü,300,1.21,1.23,300,0.826%,2.140%,1.23,9.82%,3040,芖50,1.35% 基,56.24,0.6190,43,-12.18,30.28%,30.52%
="06961P",FKッ伦,499,0.59,0.68,8,15.254%,4.946%,0.64,28%,62,芖50,0.49% 基,56.72,0.6190,25,-24.83,18.67%,21.12%
="06689P",伦DK,50,1.52,1.80,70,18.421%,5.177%,1.59,22.31%,261,芖50,0.12% 基ず,57.07,1.0310,39,-18.10,19.84%,23.46%
="06827P",瓣布GW,20,0.81,1.10,9,39.241%,10.609%,0.81,20.90%,279,芖50,0.37% 基ず,57.21,1.0310,21,-39.09,12.36%,17.85%
="07298P",AH竤痲,499,0.73,0.74,499,1.370%,2.262%,0.72,7.46%,396,芖50,0.37% 基ず,57.21,0.3090,45,-11.99,28.72%,29.07%
="07158P",FC参,368,1.92,2.02,10,4.688%,2.748%,1.95,8.94%,32,芖50,1.71% 基ず,57.99,0.8250,37,-13.60,25.09%,26.50%
="06874P",ら脖NW,499,1.33,-,0,-,6.636%,-,-,0,芖50,2.03% 基ず,58.18,0.8250,22,-,15.75%,-
="06899P",M1い獺,499,0.60,0.70,10,16.667%,5.872%,0.65,14.04%,6,芖50,2.03% 基ず,58.18,0.34,23,-19.02,19.14%,24.51%
="07241P",惩膀JX,400,1.68,1.71,400,0.588%,1.981%,-,-,0,芖50,2.03% 基ず,58.18,0.5160,42,-9.43,34.73%,34.96%
="07247P",K6竤痲,499,0.98,0.99,299,1.020%,2.058%,0.98,7.69%,15,芖50,2.03% 基ず,58.18,0.3090,42,-9.83,33.09%,33.56%
="06741P",ECじ,499,1.27,1.34,10,5.556%,5.105%,1.40,29.63%,130,芖50,3.64% 基ず,59.15,0.5160,21,-16.03,19.25%,22.53%
="06623P",じ碔1R,100,3.15,3.25,10,3.226%,5.209%,3.25,18.61%,58,芖50,5.19% 基ず,60.12,1.0310,4,-17.24,0.00%,0.00%
="06651P",惩膀8S,200,3.17,3.27,10,3.215%,5.081%,-,-,0,芖50,5.19% 基ず,60.12,1.0310,8,-17.72,0.00%,15.05%
