2016/01/22,20:18:06
舦靡腹,舦靡嘿,禦秖,禦基,芥基,芥秖,禦芥基畉,瞶禦芥基畉,Θユ基,害禴碩(%),Θユ秖,夹嘿,基ず,糹基,︽ㄏゑㄒ,逞緇ぱ计,Τ篵膘,BIV,SIV
="06879P",じ碔7J,5,0.97,0.99,20,2.062%,4.858%,0.97,-27.61%,191,芖50,0.55% 基,56.24,1.0310,25,-26.28,18.79%,19.14%
="07183P",F6瓣,120,3.64,3.66,10,0.550%,1.314%,-,-,0,芖50,0.55% 基,56.24,1.0310,40,-7.19,49.70%,50.17%
="06961P",FKッ伦,5,0.78,0.87,10,11.539%,4.302%,0.89,-19.09%,13,芖50,0.30% 基ず,56.72,0.6190,28,-19.78,19.14%,21.47%
="06689P",伦DK,10,1.75,1.84,10,5.143%,3.425%,1.87,-24.60%,150,芖50,0.91% 基ず,57.07,1.0310,42,-16.49,19.02%,20.19%
="06827P",瓣布GW,2,1.32,1.78,10,34.849%,4.968%,1.32,-31.25%,14,芖50,1.15% 基ず,57.21,1.0310,24,-26.03,16.22%,23.93%
="07158P",FC参,7,2.23,2.31,5,3.587%,2.626%,2.31,-8.33%,26,芖50,2.48% 基ず,57.99,0.8250,40,-11.94,25.80%,26.96%
="06874P",ら脖NW,25,1.65,-,0,-,3.972%,-,-,0,芖50,2.80% 基ず,58.18,0.8250,25,-,16.92%,-
="06899P",M1い獺,99,0.72,0.82,10,13.889%,3.710%,0.79,-25.47%,14,芖50,2.80% 基ず,58.18,0.34,26,-16.51,19.02%,24.39%
="07241P",惩膀JX,30,1.87,1.90,30,1.604%,1.988%,1.98,-6.16%,30,芖50,2.80% 基ず,58.18,0.5160,45,-8.30,34.50%,35.43%
="07247P",K6竤痲,25,1.08,1.10,10,1.852%,2.062%,1.17,-4.88%,250,芖50,2.80% 基ず,58.18,0.3090,45,-8.49,32.97%,33.79%
="06741P",ECじ,27,1.50,1.58,10,5.333%,3.149%,1.50,-18.48%,1118,芖50,4.40% 基ず,59.15,0.5160,24,-15.11,20.89%,24.39%
="06623P",じ碔1R,25,3.60,3.65,10,1.389%,3.044%,4.06,-1.22%,77,芖50,5.94% 基ず,60.12,1.0310,7,-14.33,0.00%,0.00%
="06651P",惩膀8S,30,3.63,3.73,30,2.755%,2.987%,3.95,-4.59%,42,芖50,5.94% 基ず,60.12,1.0310,11,-14.60,0.00%,22.53%
="06583P",K1ッ伦,10,2.85,-,0,-,2.699%,-,-,0,芖50,6.61% 基ず,60.55,0.7220,5,-,0.00%,-
="06740P",EBじ,495,2.36,2.44,10,3.390%,2.260%,2.37,-15.05%,501,芖50,7.43% 基ず,61.09,0.5160,24,-11.20,19.72%,25.80%
="06795P",K7い獺,99,1.53,1.63,10,6.536%,2.111%,1.54,-13.48%,11,芖50,8.15% 基ず,61.57,0.3090,24,-10.56,0.00%,29.53%
="06650P",惩膀8R,30,5.65,6.15,30,8.850%,1.944%,-,-,0,芖50,8.88% 基ず,62.06,1.0310,11,-8.94,0.00%,54.38%
="06606P",BE参,20,3.14,-,0,-,1.710%,3.35,-10.67%,50,芖50,9.92% 基ず,62.78,0.5160,39,-7.86,0.00%,-
="05158P",い獺3N,99,2.90,-,0,-,1.668%,-,-,0,芖50,10.28% 基ず,63.03,0.4540,10,-,0.00%,-
="06557P",AV参,20,7.25,7.65,10,5.517%,1.502%,-,-,0,芖50,10.58% 基ず,63.24,1.0310,32,-6.45,33.79%,43.15%
="06541P",伦BL,10,4.49,4.58,10,2.005%,1.462%,-,-,0,芖50,11.45% 基ず,63.86,0.6190,31,-7.43,15.05%,28.13%
="05589P",い獺6Q,99,4.76,-,0,-,1.152%,-,-,0,芖50,14.24% 基ず,65.94,0.5160,45,-,0.00%,-
="06384P",瓣布FG,10,3.14,3.15,10,0.319%,1.135%,-,-,0,腳涵瞏,16.30% 基ず,18.90,1,11,-4.66,67.54%,75.04%
="06394P",7M竤痲,25,3.78,3.88,10,2.646%,0.929%,-,-,0,腳涵瞏,18.87% 基ず,19.50,1,24,-3.71,60.05%,71.29%
="06203P",HRじ碔,25,3.93,4.03,10,2.545%,0.896%,3.93,4.24%,1,腳涵瞏,19.45% 基ず,19.64,1,24,-3.58,63.80%,75.04%
="06158P",瓣布EF,25,8,8.05,10,0.625%,0.448%,-,-,0,腳涵瞏,33.53% 基ず,23.80,1,24,-1.93,60.05%,90.03%
="06780P",CRッ伦,10,0.96,0.97,10,1.042%,0.741%,-,-,0,FB谍,0.59% 基,27.20,0.42,24,-5.29,84.87%,85.81%
="06866P",ッ14,10,2.50,2.55,10,2.000%,0.932%,-,-,0,FB谍,4.00% 基ず,28.50,1,25,-6.08,64.73%,66.61%
="031475",D6じ,491,3.19,3.20,474,0.314%,0.978%,3.19,-7.80%,68,T50は1,17.72% 基ず,18,1,12,6.63,0.00%,30.05%
="031161",HD惩膀,30,1.36,1.46,30,7.353%,1.973%,-,-,0,T50は1,5.95% 基ず,20,1,35,11.98,21.59%,26.73%
="06700P",じ碔3K,25,0.68,0.69,25,1.471%,0.495%,0.69,1.47%,20,谍2X,3.82% 基ず,28,0.17,24,-3.21,122.63%,124.74%
="037395",惩膀GG,30,0.66,0.68,30,3.030%,0.904%,-,-,0,CFA50,7.40% 基ず,15,0.30,39,4.76,77.15%,80.66%
="037403",E6瓣,499,0.81,0.82,30,1.235%,0.982%,-,-,0,CFA50,7.40% 基ず,15,0.40,39,5.29,68.01%,69.42%
="037473",N3い獺,13,0.51,0.52,30,1.961%,0.975%,0.51,-3.77%,37,CFA50,7.40% 基ず,15,0.25,39,5.29,68.95%,70.82%
="037361",E2瓣,499,0.59,0.61,100,3.390%,0.977%,-,-,0,CFA50,0.69% 基ず,16,0.40,39,6.01,66.84%,69.42%
="037371",じ碔B3,25,0.62,0.63,25,1.613%,0.930%,-,-,0,CFA50,0.69% 基ず,16,0.40,39,5.78,70.35%,71.76%
="037472",N2い獺,30,0.48,0.49,30,2.083%,0.991%,0.48,-5.88%,10,CFA50,0.69% 基ず,16,0.33,39,6.18,65.90%,67.31%
="07023P",惩膀CZ,30,0.71,0.74,30,4.225%,3.273%,-,-,0,参,0.38% 基ず,52.50,0.18,33,-6.07,61.46%,64.03%
="036984",惩膀CJ,30,0.58,0.62,30,6.897%,4.349%,-,-,0,鹅,3.33% 基ず,72,0.12,31,9.42,40.29%,44.32%
="037097",GNッ伦,10,0.76,0.77,10,1.316%,4.470%,0.73,-19.78%,20,鹅,2.02% 基ず,72.93,0.1750,33,10.60,39.41%,40.11%
="037083",じ碔9S,25,0.95,0.99,25,4.211%,3.714%,-,-,0,鹅,0.54% 基ず,74,0.20,33,8.40,50.29%,52.51%
="034589",碔ü5T,10,2.91,2.97,10,2.062%,1.854%,2.97,12.50%,20,狥锭,25.45% 基ず,36.19,0.3070,40,4.37,46.90%,56.26%
="037100",GRッ伦,10,1.37,1.41,10,2.920%,3.083%,1.37,-0.72%,123,F-約地,21.48% 基ず,100.43,0.0520,33,3.67,94.83%,101.97%
="06984P",惩膀BX,30,1,1.02,30,2.000%,1.921%,1.02,-5.56%,17,晶翬,1.96% 基ず,417.67,0.02,31,-3.79,95.53%,97.62%
="06647P",竤痲J4,25,0.85,0.89,10,4.706%,2.278%,-,-,0,晶翬,6.41% 基ず,437.56,0.0160,40,-4.28,67.49%,72.12%
="07005P",KYじ,100,0.71,0.72,100,1.409%,2.076%,0.72,-7.69%,17,晶翬,10.48% 基ず,457.45,0.01,32,-3.54,84.24%,86.40%
="06991P",伦JA,10,1.03,1.12,10,8.738%,1.916%,-,-,0,晶翬,15.53% 基ず,484.79,0.0120,31,-3.33,71.29%,89.95%
="06911P",ドLG,10,0.45,0.46,10,2.222%,4.009%,0.45,-10%,262,籈锭,2.00% 基,200,0.04,26,-7.56,61.28%,62.45%
="06791P",じ碔5W,25,0.70,0.75,10,7.143%,3.474%,-,-,0,籈锭,7.27% 基ず,220,0.03,24,-5.35,64.47%,72.84%
="06997P",EG参,20,0.99,1.08,10,9.091%,2.252%,-,-,0,籈锭,16.82% 基ず,245.25,0.0220,32,-3.29,65.38%,86.89%
="07026P",EK参,10,1.19,1.24,10,4.202%,2.153%,-,-,0,籈锭,17.80% 基ず,248.16,0.0250,33,-3.33,65.08%,76.33%
="07136P",XTじ,100,1.81,1.85,10,2.210%,1.745%,-,-,0,籈锭,21.54% 基ず,260,0.03,39,-2.66,73.98%,80.89%
="032695",A5参,10,3.38,3.47,10,2.663%,2.156%,2.98,17.79%,7,㎝,47.36% 基ず,88.22,0.0820,4,3.49,0.00%,225.01%
="036444",ら脖NJ,25,2.26,2.29,10,1.327%,2.344%,2.18,26.74%,145,㎝,41.30% 基ず,92,0.06,24,3.48,0.00%,60.05%
="036516",DDッ伦,10,2.72,2.80,10,2.941%,2.489%,-,-,0,㎝,37.58% 基ず,94.49,0.0770,24,3.44,0.00%,84.40%
="036551",HTじ,10,2.73,-,0,-,2.848%,-,-,0,㎝,30.00% 基ず,100,0.09,24,-,56.26%,-
="037418",伦LA,0,-,-,0,-,-,-,-,0,㎝,23.81% 基ず,105,0.10,39,-,-,-
="037167",ッ25,10,2.70,2.75,10,1.852%,3.192%,-,-,0,㎝,20.37% 基ず,108,0.11,34,4.35,66.84%,71.52%
="036123",CYじ,10,2.09,-,0,-,3.801%,1.74,41.46%,6,㎝,18.18% 基ず,110,0.10,24,6.58,51.58%,-
="036955",じ碔9G,25,1.84,1.94,10,5.435%,4.006%,1.25,14.68%,32,㎝,15.04% 基ず,113,0.10,31,8.63,46.19%,57.19%
="036975",ら脖21,25,1.26,1.29,10,2.381%,3.953%,1.18,47.50%,200,㎝,13.04% 基ず,115,0.07,31,6.00,58.25%,62.16%
="037013",FLッ伦,10,0.85,0.87,10,2.353%,3.783%,0.85,49.12%,62,㎝,12.15% 基ず,115.92,0.0460,31,5.23,68.07%,71.64%
="034319",F4伦,0,-,-,0,-,-,0.91,49.18%,15,㎝,11.92% 基ず,116.15,0.1020,7,13.69,-,-
="036919",KAじ,10,1.18,-,0,-,4.379%,0.84,20%,8,㎝,8.33% 基ず,120,0.08,28,8.74,63.21%,-
="034568",じ77,10,1.37,2.11,25,54.015%,4.613%,1.14,60.56%,31,㎝,2.03% 基ず,127.42,0.1220,40,8.11,57.25%,93.19%
="036577",じ碔6T,25,0.84,0.90,10,7.143%,6.729%,-,-,0,約订,3.81% 基ず,128.12,0.0840,24,8.13,53.80%,59.30%
="037420",ITッ伦,10,0.53,0.54,10,1.887%,4.786%,-,-,0,砍,1.48% 基,141.60,0.04,39,5.52,77.06%,78.43%
="720546",QVじ,0,-,-,0,-,-,6.15,3.36%,20,弘地,78.86% 基ず,350,0.02,41,2.03,-,-
="720493",RDッ伦,10,5.20,5.50,10,5.769%,3.241%,-,-,0,弘地,76.84% 基ず,354,0.0190,39,2.10,86.75%,159.41%
="720540",TTら脖,499,5.05,5.50,10,8.911%,3.507%,-,-,0,弘地,66.93% 基ず,375,0.02,41,2.20,74.10%,160.23%
="719753",じSR,0,-,-,0,-,-,2.57,-12.59%,62,弘地,33.29% 基ず,469.66,0.0160,24,3.81,-,-
="720583",SAッ伦,10,2.70,2.73,10,1.111%,4.922%,-,-,0,弘地,32.49% 基ず,472.50,0.0160,45,3.21,83.64%,87.45%
="037407",伦KP,10,1.22,1.27,10,4.098%,4.670%,-,-,0,F-ッ玜,22.13% 基ず,167.45,0.03,39,4.14,62.98%,73.34%
="037396",惩膀GH,30,1.12,1.18,30,5.357%,5.343%,-,-,0,F-ッ玜,7.98% 基ず,189.38,0.04,39,4.79,75.01%,81.13%
="036065",じ碔2T,50,0.40,0.41,10,2.500%,9.274%,-,-,0,F-ッ玜,2.58% 基ず,199.35,0.0280,12,8.58,78.11%,80.57%
="036144",竤痲K7,25,0.42,0.43,10,2.381%,7.607%,0.41,13.89%,10,F-ッ玜,2.58% 基ず,199.35,0.0250,24,7.45,67.28%,69.23%
="036234",DQじ,100,0.58,0.59,10,1.724%,8.814%,0.58,-1.69%,48,F-ッ玜,2.58% 基ず,199.35,0.04,24,8.51,56.02%,57.25%
="036510",57惩膀,30,0.70,0.76,30,8.571%,7.303%,-,-,0,F-ッ玜,2.58% 基ず,199.35,0.04,24,6.66,70.71%,78.02%
="035825",M9ッ伦,10,0.33,0.36,10,9.091%,13.473%,-,-,0,F-ッ玜,1.71% 基,208.05,0.05,7,13.01,71.76%,77.06%
="037519",じ碔C9,25,4.68,4.78,10,2.137%,1.185%,-,-,0,篴て,64.44% 基ず,18,0.40,39,2.44,82.53%,108.76%
="037256",HVッ伦,10,4.26,4.36,10,2.347%,1.332%,-,-,0,篴て,53.21% 基ず,19.32,0.41,35,2.73,75.04%,105.01%
="037770",G8瓣,499,4.09,-,0,-,1.347%,-,-,0,篴て,51.80% 基ず,19.50,0.40,45,-,67.54%,-
